ID;ALIMENTO;C3;C4;C5;C6;C7;C8;C9;C10
01001;BUTTER,WITH SALT;717;15,87;0,85;81,11;0,06;0,059999999;0;2,11
01002;BUTTER,WHIPPED,WITH SALT;717;15,87;0,85;81,11;0,06;0,059999999;0;2,11
01003;BUTTER OIL,ANHYDROUS;876;0,24;0,28;99,48;0;0;0;0
01004;CHEESE,BLUE;353;42,41;21,4;28,74;2,34;0,5;0;5,11
01005;CHEESE,BRICK;371;41,11;23,24;29,68;2,79;0,50999999;0;3,18
01006;CHEESE,BRIE;334;48,42;20,75;27,68;0,45;0,449999988;0;2,7
01007;CHEESE,CAMEMBERT;300;51,8;19,8;24,26;0,46;0,460000008;0;3,68
01008;CHEESE,CARAWAY;376;39,28;25,18;29,2;3,06;;0;3,28
01009;CHEESE,CHEDDAR;403;36,75;24,9;33,14;1,28;0,519999981;0;3,93
01010;CHEESE,CHESHIRE;387;37,65;23,37;30,6;4,78;;0;3,6
01011;CHEESE,COLBY;394;38,2;23,76;32,11;2,57;0,519999981;0;3,36
01012;CHEESE,COTTAGE,CRMD,LRG OR SML CURD;103;78,96;12,49;4,51;2,68;0,289999992;0;1,36
01013;CHEESE,COTTAGE,CRMD,W/FRUIT;97;79,64;10,69;3,85;4,61;2,380000114;0,2;1,2
01014;CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD;85;79,77;17,27;0,42;1,85;1,850000024;0;0,69
01015;CHEESE,COTTAGE,LOWFAT,2% MILKFAT;90;79,31;13,74;1,93;3,63;0,330000013;0;1,39
01016;CHEESE,COTTAGE,LOWFAT,1% MILKFAT;72;82,48;12,39;1,02;2,72;2,720000029;0;1,39
01017;CHEESE,CREAM;349;53,75;7,55;34,87;2,66;0,200000003;0;1,17
01018;CHEESE,EDAM;357;41,56;24,99;27,8;1,43;1,429999948;0;4,22
01019;CHEESE,FETA;264;55,22;14,21;21,28;4,09;4,090000153;0;5,2
01020;CHEESE,FONTINA;389;37,92;25,6;31,14;1,55;1,549999952;0;3,79
01021;CHEESE,GJETOST;466;13,44;9,65;29,51;42,65;;0;4,75
01022;CHEESE,GOUDA;356;41,46;24,94;27,44;2,22;2,220000029;0;3,94
01023;CHEESE,GRUYERE;413;33,19;29,81;32,34;0,36;0,360000014;0;4,3
01024;CHEESE,LIMBURGER;327;48,42;20,05;27,25;0,49;0,49000001;0;3,79
01025;CHEESE,MONTEREY;373;41,01;24,48;30,28;0,68;0,5;0;3,55
01026;CHEESE,MOZZARELLA,WHL MILK;300;50,01;22,17;22,35;2,19;1,029999971;0;3,28
01027;CHEESE,MOZZARELLA,WHL MILK,LO MOIST;318;48,38;21,6;24,64;2,47;1,00999999;0;2,91
01028;CHEESE,MOZZARELLA,PART SKIM MILK;254;53,78;24,26;15,92;2,77;1,129999995;0;3,27
01029;CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST;302;46,46;25,96;20,03;3,83;0,600000024;0;3,72
01030;CHEESE,MUENSTER;368;41,77;23,41;30,04;1,12;1,120000005;0;3,66
01031;CHEESE,NEUFCHATEL;260;62,21;9,96;23,43;2,94;;0;1,46
01032;CHEESE,PARMESAN,GRATED;431;20,84;38,46;28,61;4,06;0,899999976;0;8,03
01033;CHEESE,PARMESAN,HARD;392;29,16;35,75;25,83;3,22;0,800000012;0;6,04
01034;CHEESE,PORT DE SALUT;352;45,45;23,78;28,2;0,57;0,569999993;0;2
01035;CHEESE,PROVOLONE;351;40,95;25,58;26,62;2,14;0,560000002;0;4,71
01036;CHEESE,RICOTTA,WHOLE MILK;174;71,7;11,26;12,98;3,04;0,270000011;0;1,02
01037;CHEESE,RICOTTA,PART SKIM MILK;138;74,41;11,39;7,91;5,14;0,310000002;0;1,15
01038;CHEESE,ROMANO;387;30,91;31,8;26,94;3,63;0,730000019;0;6,72
01039;CHEESE,ROQUEFORT;369;39,38;21,54;30,64;2;;0;6,44
01040;CHEESE,SWISS;380;37,12;26,93;27,8;5,38;1,320000052;0;2,77
01041;CHEESE,TILSIT;340;42,86;24,41;25,98;1,88;;0;4,87
01042;CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4;375;39,16;22,15;31,25;1,6;0,50999999;0;5,84
01043;CHEESE,PAST PROCESS,PIMENTO;375;39,08;22,13;31,2;1,73;0,629999995;0,1;5,84
01044;CHEESE,PAST PROCESS,SWISS,W/DI NA PO4;334;42,31;24,73;25,01;2,1;1,230000019;0;5,85
01045;CHEESE FD,COLD PK,AMERICAN;331;43,12;19,66;24,46;8,32;;0;4,44
01046;CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4;330;43,21;18,4;25,18;7,83;7,429999828;0;5,38
01047;CHEESE FD,PAST PROCESS,SWISS;323;43,67;21,92;24,14;4,5;;0;5,77
01048;CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4;290;47,65;16,41;21,23;8,73;7,320000172;0;5,98
01049;CREAM,FLUID,HALF AND HALF;130;80,57;2,96;11,5;4,3;0,159999996;0;0,67
01050;CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM);195;73,75;2,7;19,31;3,66;0,140000001;0;0,58
01052;CREAM,FLUID,LT WHIPPING;292;63,5;2,17;30,91;2,96;0,109999999;0;0,46
01053;CREAM,FLUID,HVY WHIPPING;345;57,71;2,05;37;2,79;0,109999999;0;0,45
01054;CREAM,WHIPPED,CRM TOPPING,PRESSURIZED;257;61,33;3,2;22,22;12,49;8;0;0,76
01055;CREAM,SOUR,RED FAT,CULTURED;135;80,14;2,94;12;4,26;0,159999996;0;0,66
01056;CREAM,SOUR,CULTURED;214;70,95;3,16;20,96;4,27;0,159999996;0;0,66
01057;EGGNOG;135;74,37;3,81;7,48;13,54;8,409999847;0;0,8
01058;SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE;178;74,79;3,25;16,57;4,68;4,679999828;0;0,71
01059;MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS;63;87,67;3,33;3,46;4,74;;0;0,8
01060;MILK,FILLED,FLUID,W/LAURIC ACID OIL;63;87,73;3,33;3,4;4,74;4,739999771;0;0,8
01067;CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT;136;77,27;1;9,97;11,38;11,38000011;0;0,38
01068;CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE;136;77,27;1;9,97;11,38;;0;0,38
01069;CREAM SUBSTITUTE,POWDERED;546;2,21;4,79;35,48;54,88;54,88000107;0;2,64
01070;DESSERT TOPPING,POWDERED;577;1,47;4,9;39,92;52,54;52,54000092;0;1,17
01071;DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK;189;66,65;3,6;12,41;16,53;16,53000069;0;0,81
01072;DESSERT TOPPING,PRESSURIZED;264;60,37;0,98;22,3;16,07;16,06999969;0;0,28
01073;DESSERT TOPPING,SEMI SOLID,FRZ;318;50,21;1,25;25,31;23,05;23,04999924;0;0,18
01074;SOUR CRM,IMITN,CULTURED;208;71,15;2,4;19,52;6,63;6,630000114;0;0,3
01075;MILK SUBSTITUTES,FLUID W/HYDR VEG OILS;61;88,18;1,75;3,41;6,16;6,159999847;0;0,5
01076;MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL;61;88,18;1,75;3,41;6,16;;0;0,5
01077;MILK,WHL,3.25% MILKFAT;60;88,32;3,22;3,25;4,52;5,260000229;0;0,69
01078;MILK,PRODUCER,FLUID,3.7% MILKFAT;64;87,69;3,28;3,66;4,65;;0;0,72
01079;MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A;50;89,33;3,3;1,97;4,68;5,059999943;0;0,71
01080;MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A;51;88,86;3,48;1,92;4,97;;0;0,77
01081;MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A;56;87,71;3,95;1,98;5,49;5,260000229;0;0,87
