"NomBan","NomAlb","NomCan","Estrellas","Videoclip"
"A Day to Remember","Attack of the Killer B-Sides","Since U Been Gone","1",NULL
"A Day to Remember","For Those Who Have Heart","Fast Forward to 2012","0",NULL
"A Day to Remember","For Those Who Have Heart","Monument","0",NULL
"A Day to Remember","For Those Who Have Heart","The Plot to Bomb the Panhandle","1",NULL
"A Day to Remember","Homesick","Have Faith in Me","2",NULL
"A Day to Remember","Homesick","I'm Made of Wax, Larry, What Are You Made of?","2",NULL
"A Day to Remember","Homesick","If It Means a Lot to You","3",NULL
"A Day to Remember","Homesick","Mr. Highway's Thinking About the End","1",NULL
"A Day to Remember","Homesick","The Downfall of Us All","3",NULL
"A Day to Remember","What Separates Me from You","All I Want","3",NULL
"A Day to Remember","What Separates Me from You","All Signs Point to Lauderdale","2",NULL
"AC/DC","Back in Black","Back in Black","3",NULL
"AC/DC","Back in Black","Hells Bells","2",NULL
"AC/DC","Back in Black","Shoot to Thrill","2",NULL
"AC/DC","Back in Black","You Shook Me All Night Long","2",NULL
"AC/DC","Dirty Deeds Done Dirt Cheap","Dirty Deeds Done Dirt Cheap","2",NULL
"AC/DC","High Voltage","It's a Long Way to the Top","1",NULL
"AC/DC","Highway to Hell","Highway to Hell","3",NULL
"AC/DC","Let There Be Rock","Let There Be Rock","1",NULL
"AC/DC","Let There Be Rock","Whole Lotta Rosie","0",NULL
"AC/DC","T.N.T.","T.N.T.","2",NULL
"AC/DC","The Razors Edge","Tunderstruck","3",NULL
"Accept","Balls to the Wall","Balls to the Wall","3",NULL
"Accept","Balls to the Wall","London Leatherboys","0",NULL
"Accept","Balls to the Wall","Winterdreams","0",NULL
"Accept","Blood of the Nations","Kill the Pain","0",NULL
"Accept","Blood of the Nations","Pandemic","1",NULL
"Accept","Blood of the Nations","Teutonic Terror","2",NULL
"Accept","Breaker","Breaker","0",NULL
"Accept","Metal Heart","Metal Heart","2",NULL
"Accept","Metal Heart","Midnight Mover","0",NULL
"Accept","Restless and Wild","Fast as a Shark","3",NULL
"Accept","Restless and Wild","Princess of the Down","3",NULL
"Accept","Restless and Wild","Restless and Wild","1",NULL
"Accept","Stalingrad","Shadow Soldiers","0",NULL
"After Forever","After Forever","Discord","3",NULL
"After Forever","After Forever","Dreamflight","0",NULL
"After Forever","After Forever","Energize Me","3",NULL
"After Forever","After Forever","Equally Destructive","1",NULL
"After Forever","After Forever","Evoke","0",NULL
"After Forever","After Forever","Withering Time","0",NULL
"After Forever","Decipher","Emphasis","0",NULL
"After Forever","Decipher","Monolith of Doubt","3",NULL
"After Forever","Decipher","My Pledge of Allegiance #1: The Sealed Fate","1",NULL
"After Forever","Invisible Circles","Beautiful Emptiness","1",NULL
"After Forever","Invisible Circles","Digital Deceit","0",NULL
"After Forever","Prison of Desire","Beyond Me","1",NULL
"After Forever","Prison of Desire","Follow in the Cry","2",NULL
"After Forever","Remagine","Being Everyone","0",NULL
"After Forever","Remagine","Come","2",NULL
"After Forever","Remagine","Face Your Demons","0",NULL
"Agalloch","Ashes Against the Grain","Falling Snow","3",NULL
"Agalloch","Ashes Against the Grain","Fire Above, Ice Below","1",NULL
"Agalloch","Ashes Against the Grain","Limbs","3",NULL
"Agalloch","Ashes Against the Grain","Not Unlike the Waves","3",NULL
"Agalloch","Ashes Against the Grain","Our Fortress Is Burning... II: Bloodbirds","1",NULL
"Agalloch","Marrow of the Spirit","Into the Painted Grey","2",NULL
"Agalloch","Pale Folklore","Dead Winter Days","0",NULL
"Agalloch","Pale Folklore","Hallways of Enchanted Ebony","0",NULL
"Agalloch","Pale Folklore","The Melancholy Spirit","3",NULL
"Agalloch","The Mantle","...And the Great Cold Death of the Earth","1",NULL
"Agalloch","The Mantle","In the Shadow of Our Pale Companion","3",NULL
"Agalloch","The Mantle","The Hawthorne Passage","1",NULL
"Agalloch","The Mantle","You Were but a Ghost in My Arms","1",NULL
"Airbourne","Black Dog Barking","Back in the Game","1",NULL
"Airbourne","Black Dog Barking","Live It Up","2",NULL
"Airbourne","Black Dog Barking","Ready to Rock","1",NULL
"Airbourne","Boneshaker","Boneshaker","0",NULL
"Airbourne","Breakin' Outta Hell","Breakin' Outta Hell","0",NULL
"Airbourne","Breakin' Outta Hell","It's All for Rock N' Roll","0",NULL
"Airbourne","No Guts No Glory","Blonde, Bad and Beautiful","1",NULL
"Airbourne","No Guts No Glory","No Way but the Hard Way","0",NULL
"Airbourne","Runnin' Wild","Blackjack","0",NULL
"Airbourne","Runnin' Wild","Diamond in the Rough","1",NULL
"Airbourne","Runnin' Wild","Girls in Black","0",NULL
"Airbourne","Runnin' Wild","Runnin' Wild","3",NULL
"Airbourne","Runnin' Wild","Stand Up for Rock 'n' Roll","2",NULL
"Airbourne","Runnin' Wild","Too Much, Too Young, Too Fast","3",NULL
"Alcest","Écailles de lune","Écailles de lune - Part 1","1",NULL
"Alcest","Écailles de lune","Percées de lumière","2",NULL
"Alcest","Écailles de lune","Sur l'océan couleur de fer","2",NULL
"Alcest","Kodama","Eclosion","0",NULL
"Alcest","Kodama","Kodama","2",NULL
"Alcest","Kodama","Oiseaux de proie","1",NULL
"Alcest","Les Voyages de l'âme","Autre temps","3",NULL
"Alcest","Les Voyages de l'âme","Là où naissent les couleurs nouvelles","2",NULL
"Alcest","Les Voyages de l'âme","Les Voyages de L'âme","1",NULL
"Alcest","Shelter","Délivrance","1",NULL
"Alcest","Souvenirs d'un autre monde","Ciel Errant","0",NULL
"Alcest","Souvenirs d'un autre monde","Souvenirs d'un autre monde","2",NULL
"Alcest","Spiritual Instinct","Les Jardins de Minuit","1",NULL
"Alcest","Spiritual Instinct","Protection","1",NULL
"Alcest","Spiritual Instinct","Sapphire","2",NULL
"Alestorm","Back Through Time","Death Throes of the Terrorsquid","0",NULL
"Alestorm","Back Through Time","Shipwrecked","2",NULL
"Alestorm","Back Through Time","The Sunk'n Norwegian","1",NULL
"Alestorm","Black Sails at Midnight","Keelhauled","3",NULL
"Alestorm","Black Sails at Midnight","Leviathan","0",NULL
"Alestorm","Black Sails at Midnight","Wolves of the Sea","1",NULL
"Alestorm","Captain Morgan's Revenge","Captain Morgan's Revenge","3",NULL
"Alestorm","Captain Morgan's Revenge","Nancy the Tavern Wench","0",NULL
"Alestorm","Captain Morgan's Revenge","Over the Seas","0",NULL
"Alestorm","No Grave but the Sea","Alestorm","0",NULL
"Alestorm","No Grave but the Sea","Fucked with an Anchor","1",NULL
"Alestorm","No Grave but the Sea","Mexico","2",NULL
"Alestorm","Sunset on the Golden Age","1741 (The Battle of Cartagena)","0",NULL
"Alestorm","Sunset on the Golden Age","Drink","3",NULL
"Alestorm","Sunset on the Golden Age","Hangover","0",NULL
"Alice Cooper","Billion Dollar Babies","Billion Dollar Babies","0",NULL
"Alice Cooper","Billion Dollar Babies","No More Mr. Guy","2",NULL
"Alice Cooper","Goes to Hell","I Never Cry","0",NULL
"Alice Cooper","Hey Stoopid","Feed My Frankenstein","2",NULL
"Alice Cooper","Hey Stoopid","Hey Stoopid","0",NULL
"Alice Cooper","Killer","Under my Wheels","0",NULL
"Alice Cooper","Lace & Whiskey","You and Me","0",NULL
"Alice Cooper","Love It to Death","Ballad of Dwight Fry","0",NULL
"Alice Cooper","Love It to Death","I'm Eighteen","3",NULL
"Alice Cooper","School's Out","School's Out","3",NULL
"Alice Cooper","Trash","Bed of Nails","1",NULL
"Alice Cooper","Trash","House of Fire","0",NULL
"Alice Cooper","Trash","Poison","3",NULL
"Alice Cooper","Welcome to My Nightmare","Only Women Bleed","1",NULL
"Alice in Chains","Alice in Chains","Heaven Beside You","2",NULL
"Alice in Chains","Dirt","Angry Chair","1",NULL
"Alice in Chains","Dirt","Down in a Hole","2",NULL
"Alice in Chains","Dirt","Rooster","3",NULL
"Alice in Chains","Dirt","Them Bones","2",NULL
"Alice in Chains","Dirt","Would?","3",NULL
"Alice in Chains","Facelift","Man in the Box","3",NULL
"Alice in Chains","Jar of Flies","I Stay Away","2",NULL
"Alice in Chains","Jar of Flies","No Excuses","2",NULL
"Alice in Chains","Jar of Flies","Nutshell","2",NULL
"All That Remains","A War You Cannot Win","What If I Was Nothing?","2",NULL
"All That Remains","For We Are Many","Hold On","1",NULL
"All That Remains","For We Are Many","The Last Time","2",NULL
"All That Remains","For We Are Many","The Waiting One","0",NULL
"All That Remains","Madness","The Thunder Rolls","1",NULL
"All That Remains","Overcome","Chiron","1",NULL
