"NomBan","NomGen","Estrellas"
"A Day to Remember","Metalcore",NULL
"A Day to Remember","Pop",NULL
"A Day to Remember","Post-Hardcore",NULL
"A Day to Remember","Punk",NULL
"AC/DC","Blues",NULL
"AC/DC","Hard",NULL
"AC/DC","Rock&Roll",NULL
"Accept","Heavy",NULL
"After Forever","Gothic",NULL
"After Forever","Symphonic",NULL
"Agalloch","Black.",NULL
"Agalloch","Doom",NULL
"Agalloch","Folk",NULL
"Airbourne","Hard",NULL
"Airbourne","Heavy",NULL
"Airbourne","Rock 'n' Roll",NULL
"Alcest","Black-Gaze",NULL
"Alcest","Black.",NULL
"Alcest","Post-Metal",NULL
"Alcest","Shoegazing",NULL
"Alestorm","Folk",NULL
"Alestorm","Pirate",NULL
"Alestorm","Power",NULL
"Alice Cooper","_Glam",NULL
"Alice Cooper","Hard",NULL
"Alice Cooper","Heavy",NULL
"Alice Cooper","Shock",NULL
"Alice in Chains","Alternative",NULL
"Alice in Chains","Grunge",NULL
"Alice in Chains","Hard",NULL
"Alice in Chains","Heavy",NULL
"All That Remains","Death-Melodic",NULL
"All That Remains","Metalcore",NULL
"Alter Bridge","Alternative",NULL
"Alter Bridge","Hard",NULL
"Alter Bridge","Heavy",NULL
"Alter Bridge","Post-Grunge",NULL
"Amaranthe","Death-Melodic",NULL
"Amaranthe","Metalcore",NULL
"Amaranthe","Power",NULL
"Amon Amarth","Black.",NULL
"Amon Amarth","Death-Melodic",NULL
"Amon Amarth","Extreme",NULL
"Amon Amarth","Viking",NULL
"Amorphis","Death-Melodic",NULL
"Amorphis","Death.",NULL
"Amorphis","Doom",NULL
"Amorphis","Extreme",NULL
"Amorphis","Folk",NULL
"Amorphis","Progressive",NULL
"Anathema","Death.",NULL
"Anathema","Doom",NULL
"Anathema","Gothic",NULL
"Angel Witch","Heavy",NULL
"Angel Witch","NWOBHM",NULL
"Angel Witch","Speed",NULL
"Angra","Power",NULL
"Angra","Progressive",NULL
"Animals as Leaders","Djent",NULL
"Animals as Leaders","Progressive",NULL
"Animals as Leaders","Rock",NULL
"Annihilator","Speed",NULL
"Annihilator","Thrash.",NULL
"Anthrax","Heavy",NULL
"Anthrax","Speed",NULL
"Anthrax","Thrash.",NULL
"Anvil","Hard",NULL
"Anvil","Heavy",NULL
"Apocalyptica","Cello",NULL
"Apocalyptica","Classical",NULL
"Apocalyptica","Rock",NULL
"Apocalyptica","Symphonic",NULL
"Arch Enemy","Death-Melodic",NULL
"Arch Enemy","Extreme",NULL
"Architects","Mathcore",NULL
"Architects","Metalcore",NULL
"Arkona","Folk",NULL
"As I Lay Dying","Metalcore",NULL
"Asking Alexandria","Electronic",NULL
"Asking Alexandria","Metalcore",NULL
"Asking Alexandria","Post-Hardcore",NULL
"At the Gates","Death-Melodic",NULL
"At the Gates","Extreme",NULL
"Atreyu","Metalcore",NULL
"August Burns Red","Metalcore",NULL
"Avantasia","Power",NULL
"Avantasia","Symphonic",NULL
"Avatar","Death-Melodic",NULL
"Avatar","Groove",NULL
"Avenged Sevenfold","Metalcore",NULL
"Baroness","Progressive",NULL
"Baroness","Sludge",NULL
"Bathory","Black.",NULL
"Bathory","Extreme",NULL
"Bathory","FW-Black",NULL
"Battle Beast","Heavy",NULL
"Battle Beast","Power",NULL
"Behemoth","Black.",NULL
"Behemoth","Death.",NULL
"Behemoth","Extreme",NULL
"Between the Buried and Me","Death-Tech",NULL
"Between the Buried and Me","Metalcore",NULL
"Between the Buried and Me","Progressive",NULL
"Black Label Society","Heavy",NULL
"Black Label Society","Southern",NULL
"Black Sabbath","Doom",NULL
"Black Sabbath","Heavy",NULL
"Black Veil Brides","Metalcore",NULL
"Black Veil Brides","Post-Hardcore",NULL
"Blind Guardian","Speed",NULL
"Blind Guardian","Thrash.",NULL
"Blue Cheer","Acid Rock",NULL
"Blue Cheer","Blues",NULL
"Blue Cheer","Hard",NULL
"Blue Cheer","Heavy",NULL
"Blue Cheer","Psychedelic",NULL
"Blue Oÿster Cult","Acid Rock",NULL
"Blue Oÿster Cult","Blues",NULL
"Blue Oÿster Cult","Hard",NULL
