"NomBan","Pais","Origen","NumEscuchasMes","Imagen","Estatus","Descrip","LinkWeb","LinkSpotify"
"A Day to Remember",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"AC/DC",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Accept",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"After Forever",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Agalloch",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Airbourne",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Alcest",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Alestorm",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Alice Cooper",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Alice in Chains",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"All That Remains",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Alter Bridge",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Amaranthe",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Amon Amarth",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Amorphis",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Anathema",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Angel Witch",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Angra",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Animals as Leaders",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Annihilator",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Anthrax",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Anvil",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Apocalyptica",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Arch Enemy",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Architects",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Arkona",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"As I Lay Dying",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Asking Alexandria",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"At the Gates",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Atreyu",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"August Burns Red",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Avantasia",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Avatar",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Avenged Sevenfold",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Baroness",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Bathory",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Battle Beast",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Behemoth",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Between the Buried and Me",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Black Label Society",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Black Sabbath",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Black Veil Brides",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Blind Guardian",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Blue Cheer",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Blue Oÿster Cult",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Body Count",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Bon Jovi",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Breaking Benjamin",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Bring Me the Horizon",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
