NomBan;Pais;Origen;NumEscuchasMes;Imagen;Estatus;Descrip;LinkWeb;LinkSpotify;FechaIncorp;Visitas;EstrellasMax;Puntuacion;CountAlb;CountLikes;CountCan;CountDisc;CountEst;CountGen;CountMus;CountTemas
Metallica;"United States";"Los Angeles/San Francisco, California";25492446;https://www.metal-archives.com/images/1/2/5/125_photo.jpg?1520;"En Activo";"Metallica es una banda estadounidense de heavy metal y thrash metal. La banda se formó en 1981 en Los Ángeles por el vocalista/guitarrista James Hetfield y el baterista Lars Ulrich, y se ha basado en San Francisco durante la mayor parte de su carrera. Los rápidos ritmos, instrumentales y la agresiva musicalidad de la banda los convirtieron en una de las ""cuatro grandes"" bandas fundadoras del thrash metal, junto a Megadeth, Anthrax y Slayer. La formación actual de Metallica está formada por los miembros fundadores y compositores principales Hetfield y Ulrich, el guitarrista principal Kirk Hammett y el bajista Robert Trujillo. El guitarrista Dave Mustaine, que formó Megadeth después de ser despedido de la banda, y los bajistas Ron McGovney, Cliff Burton y Jason Newsted son ex miembros de la banda.Metallica encontró por primera vez el éxito comercial con el lanzamiento de su tercer álbum, Master of Puppets (1986), que se cita como uno de los álbumes de metal más pesados y el mejor trabajo de la banda. El siguiente álbum de la banda, ...And Justice for All (1988), le dio a Metallica su primera nominación al Grammy. Su quinto álbum homónimo, Metallica (1991), fue el primero de la banda en no arraigar predominantemente en el thrash metal; apeló a una audiencia más convencional, logrando un éxito comercial sustancial y vendiendo más de 16 millones de copias en los Estados Unidos hasta la fecha, convirtiéndolo en el álbum más vendido de la era SoundScan. Después de experimentar con diferentes géneros y direcciones en lanzamientos posteriores, Metallica regresó a sus raíces de thrash metal con el lanzamiento de su noveno álbum, Death Magnetic (2008), que atrajo elogios similares a los de los álbumes anteriores de la banda. Esto fue seguido por el décimo álbum de estudio de la banda, Hardwired. en 2000, Metallica lideró el caso contra el servicio de intercambio de archivos peer-to-peer Napster, en el que la banda y varios otros artistas presentaron demandas contra el servicio por compartir su material protegido por derechos de autor sin consentimiento, llegando finalmente a un acuerdo. Metallica fue el tema de la aclamada película documental de 2004 Metallica: Some Kind of Monster, que documentó la problemática producción del octavo álbum de la banda, St. Anger (2003), y las luchas internas dentro de la banda en ese momento. En 2009, Metallica fue incluido en el Salón de la Fama del Rock and Roll. La banda co-escribió el guión y protagonizó junto a Dane DeHaan en la película de concierto de 2013 Metallica: Through the Never, en la que la banda actuó en vivo contra una historia de suspenso ficticia.Metallica ha lanzado 10 álbumes de estudio, cuatro álbumes en vivo (incluidas dos actuaciones con la Sinfónica de San Francisco), 12 álbumes de video, un álbum de portada, dos obras extendidas, 37 singles y 39 videos musicales. La banda ha ganado nueve premios Grammy de 23 nominaciones, y sus últimos seis álbumes de estudio (comenzando con Metallica) han debutado consecutivamente en el número 1 en el Billboard 200. Metallica se ubica como una de las bandas más exitosas comercialmente de todos los tiempos, habiendo vendido más de 125 millones de álbumes en todo el mundo a partir de 2018. Metallica ha sido catalogado como uno de los mejores artistas de todos los tiempos por revistas como Rolling Stone, que clasificó a la banda en el número 61 en su lista de los 100 mejores artistas de todos los tiempos. A partir de 2017, Metallica es el tercer artista musical más vendido desde que Nielsen SoundScan comenzó a rastrear las ventas en 1991, vendiendo un total de 58 millones de álbumes en los Estados Unidos.";http://www.metallica.com;https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB;2023-03-15;6;5;152954676;6;0;13;6;15;4;6;9
"Black Sabbath";"United Kingdom";"Birmingham, West Midlands, England";13417940;https://www.metal-archives.com/images/9/9/99_photo.jpg?0308;Disueltos;"Black Sabbath fue un grupo inglés de heavy metal formado en Birmingham en 1968 por el guitarrista Tony Iommi, el batería Bill Ward, el bajista Geezer Butler y el vocalista Ozzy Osbourne. A menudo se les considera pioneros del heavy metal. La banda ayudó a definir el género con lanzamientos como Black Sabbath (1970), Paranoid (1970) y Master of Reality (1971). La banda sufrió múltiples cambios de formación tras la marcha de Osbourne en 1979 e Iommi es el único miembro constante a lo largo de su historia. 

Tras iteraciones anteriores del grupo -Polka Tulk Blues Band y Earth-, la banda se decantó por el nombre de Black Sabbath en 1969. Se distinguieron por su temática ocultista, con letras inspiradas en el terror y guitarras afinadas. Firmaron con Philips Records en noviembre de 1969 y publicaron su primer sencillo, ""Evil Woman"", en enero de 1970, y su álbum de debut, Black Sabbath, al mes siguiente. Aunque recibió una respuesta negativa por parte de la crítica, el álbum fue un éxito comercial, lo que dio lugar a un disco de continuación, Paranoid, ese mismo año. La popularidad de la banda creció y, en 1973, con Sabbath Bloody Sabbath, la crítica empezó a responder favorablemente.

El excesivo abuso de sustancias por parte de Osbourne provocó su despido en 1979. Fue sustituido por el antiguo vocalista de Rainbow, Ronnie James Dio. Tras dos álbumes con Dio, Black Sabbath sufrió muchos cambios de personal en las décadas de 1980 y 1990, que incluyeron a los vocalistas Ian Gillan, Glenn Hughes, Ray Gillen y Tony Martin, así como a varios baterías y bajistas. Martin, que sustituyó a Gillan en 1987, fue el segundo vocalista que más tiempo estuvo en activo y grabó tres álbumes con Black Sabbath antes de su despido en 1991. Ese mismo año, Iommi y Butler se reunieron con Dio y el batería Vinny Appice para grabar Dehumanizer (1992). Tras dos álbumes de estudio más con Martin, que sustituyó a Dio en 1993, la formación original de la banda se reunió en 1997 y publicó un álbum en directo, Reunion, al año siguiente; continuaron de gira ocasionalmente hasta 2005. Aparte de varias reediciones de su catálogo y álbumes recopilatorios, así como la formación de la era Mob Rules reunida como Heaven & Hell, no hubo más actividad bajo el nombre de Black Sabbath hasta 2011, con el lanzamiento de su último álbum de estudio y decimonoveno en total, 13, en 2013, que cuenta con todos los miembros originales excepto Ward. Durante su gira de despedida, la banda dio su último concierto en su ciudad natal, Birmingham, el 4 de febrero de 2017. Desde entonces se han producido ocasionales reuniones parciales, la más reciente cuando Osbourne y Iommi actuaron juntos en la ceremonia de clausura de los Juegos de la Commonwealth de 2022 en Birmingham.";http://www.blacksabbath.com;https://open.spotify.com/artist/5M52tdBnJaKSvOpJGz8mfZ;2023-03-28;0;5;80507640;7;0;13;7;6;4;20;6
"Ozzy Osbourne";"United Kingdom";"Birmingham, West Midlands, England (early); United Kingdom / United States (later)";8831479;https://www.metal-archives.com/images/1/9/5/195_photo.jpg?5912;"En Activo";"John Michael ""Ozzy"" Osbourne (born 3 December 1948) is an English singer, songwriter, and television personality. He rose to prominence during the 1970s as the lead vocalist of the heavy metal band Black Sabbath, during which period he adopted the nickname ""Prince of Darkness"". Born and raised in Birmingham, Osbourne became a founding member of Black Sabbath in 1967, and sang on every album from their debut in 1970 to Never Say Die! in 1978. The band was highly influential on the development of heavy metal music, in particular their critically acclaimed releases Paranoid, Master of Reality and Sabbath Bloody Sabbath. Osbourne was fired from Black Sabbath in 1979 due to alcohol and drug problems, but went on to have a successful solo career, releasing 13 studio albums, the first seven of which received multi-platinum certifications in the US. Osbourne has since reunited with Black Sabbath on several occasions. He rejoined in 1997 and helped record the group's final studio album, 13 (2013), before they embarked on a farewell tour that ended with a February 2017 performance in their hometown, Birmingham. His longevity and success have earned him the informal title ""Godfather of Metal"".

Osbourne's total album sales from his years in Black Sabbath, combined with his solo work, are over 100 million. He was inducted into the Rock and Roll Hall of Fame as a member of Black Sabbath and into the UK Music Hall of Fame as a solo artist and as a member of the band. He has been honoured with stars on the Hollywood Walk of Fame and Birmingham Walk of Stars. At the 2014 MTV Europe Music Awards, he received the Global Icon Award. In 2015, Osbourne received the Ivor Novello Award for Lifetime Achievement from the British Academy of Songwriters, Composers and Authors.

In the early 2000s, Osbourne became a reality television star, appearing as himself in the MTV reality show The Osbournes alongside wife and manager Sharon and two of their three children, Kelly and Jack. He co-stars with Jack and Kelly in the television series Ozzy & Jack's World Detour. The show's third season debuted in June 2018.
";http://www.ozzy.com;https://open.spotify.com/artist/6ZLTlhejhndI4Rh53vYhrY;2023-04-07;0;5;52988874;8;0;14;8;17;3;35;5
"Mötley Crüe";"United States";"Los Angeles, California";8261900;https://www.metal-archives.com/images/1/0/2/5/1025_photo.jpg?4307;"En Activo";"Mötley Crüe es una banda estadounidense de heavy metal formada en Los Ángeles, California, el 17 de enero de 1981. El grupo fue fundado por el bajista Nikki Sixx y el batería Tommy Lee, el vocalista Vince Neil y el guitarrista principal Mick Mars. Mötley Crüe ha vendido más de 100 millones de discos en todo el mundo, 25 millones de ellos en Estados Unidos, lo que les convierte en una de las bandas más vendidas de todos los tiempos.

Los miembros de la banda han destacado a menudo por su estilo de vida hedonista y la personalidad que mantenían. Tras sus orígenes en el hard rock y el heavy metal, con el tercer álbum Theatre of Pain (1985) la banda se unió a la primera ola del glam metal. Su último álbum de estudio, Saints of Los Angeles, se publicó el 24 de junio de 2008. Su último concierto tuvo lugar en la víspera de Año Nuevo, el 31 de diciembre de 2015, y fue filmado para un lanzamiento en cines y Blu-ray en 2016.

Los miembros de la banda han destacado a menudo por su estilo de vida duro; todos los miembros han tenido numerosos roces con la ley, han pasado tiempo en la cárcel, han sufrido largas adicciones al alcohol y las drogas, han tenido innumerables escapadas con mujeres y están muy tatuados. Su noveno álbum de estudio, Saints of Los Angeles, salió a la venta el 24 de junio de 2008, mientras que la adaptación cinematográfica de su exitosa autobiografía The Dirt está prevista para 2011.

Mötley Crüe se formó el 17 de enero de 1981, cuando el bajista Nikki Sixx abandonó el grupo London y empezó a ensayar con el batería Tommy Lee y el vocalista y guitarrista Greg Leon. Lee había trabajado anteriormente con Leon en una banda llamada Suite 19 y el trío ensayó junto durante algún tiempo con Leon finalmente decidiendo no continuar. El bajista y el batería empezaron entonces a buscar nuevos miembros. Sixx y Lee pronto conocieron al guitarrista Bob ""Mick Mars"" Deal. Mars fue rápidamente audicionado y posteriormente contratado por Sixx y Lee. La banda recién formada aún no tenía nombre. Mientras intentaba encontrar un nombre adecuado, Mars recordó un incidente que ocurrió cuando tocaba con una banda llamada White Horse, cuando uno de los otros miembros de la banda llamó al grupo ""un grupo de aspecto variopinto"". Había recordado la frase y más tarde la copió como Mottley Cru-. Después de modificar ligeramente la ortografía, se eligió finalmente ""Mötley Crüe"" como nombre de la banda, con la decisión estilística de añadir los dos juegos de diéresis supuestamente inspirada en la cerveza alemana Löwenbräu, que los miembros bebían en aquel momento. El grupo seguía necesitando un cantante. Lee conocía a Vince Neil desde sus tiempos de instituto, en el Royal Oak H.S. de Covina, y ambos habían tocado en diferentes grupos del circuito de bandas de garaje. Al verle actuar con el grupo Rock Candy en el Starwood de Hollywood, Mars sugirió a Mötley Crüe que contratara a Neil. Al principio, Neil rechazó la oferta. Sin embargo, a medida que los otros miembros de Rock Candy se involucraban en proyectos externos, Neil empezó a tener ganas de probar algo más. Cuando Lee hizo un último llamamiento para hacer una audición, Neil aceptó y fue contratado.";http://www.motley.com/;https://open.spotify.com/artist/0cc6vw3VN8YlIcvr1v7tBL;2023-03-26;0;5;49571400;5;0;11;5;9;4;7;7
"Iron Maiden";"United Kingdom";"London, England";8062232;https://www.metal-archives.com/images/2/5/25_photo.jpg?3258;"En Activo";"Iron Maiden es una banda inglesa de heavy metal formada en Leyton, al este de Londres, en 1975 por el bajista y principal compositor Steve Harris. Aunque fluida en los primeros años de la banda, la alineación para la mayor parte de la historia de la banda ha consistido en Harris, el vocalista Bruce Dickinson, el baterista Nicko McBrain, y los guitarristas Dave Murray, Adrian Smith y Janick Gers. La banda ha publicado 41 álbumes, 17 de ellos de estudio, 13 en directo, cuatro EP y siete recopilatorios. También han publicado 47 singles y 20 álbumes de vídeo. Se han publicado dos juegos electrónicos con bandas sonoras de Iron Maiden, y la música de la banda aparece en otros videojuegos.

Como pioneros de la nueva ola del heavy metal británico, Iron Maiden alcanzó el éxito inicial a principios de la década de 1980. Tras varios cambios de formación, la banda publicó una serie de álbumes de platino y oro en el Reino Unido y Estados Unidos, entre los que se incluyen el álbum debut homónimo de 1980, Killers de 1981, The Number of the Beast de 1982, Piece of Mind de 1983, Powerslave de 1984, Live After Death de 1985, Somewhere in Time de 1986, Seventh Son of a Seventh Son de 1988, No Prayer for the Dying de 1990 y Fear of the Dark de 1992. En 1982, la banda publicó The Number of the Beast -su primer álbum con Bruce Dickinson, que sustituyó a Paul Di'Anno como vocalista-, que supuso un punto de inflexión en su carrera y les ayudó a establecerse como uno de los artistas más importantes del heavy metal. The Number of the Beast es uno de los álbumes de heavy metal más populares de todos los tiempos, con casi 20 millones de copias vendidas en todo el mundo.

Desde el regreso del vocalista Bruce Dickinson y el guitarrista Adrian Smith en 1999, la banda ha experimentado un resurgimiento en popularidad, con una serie de nuevos álbumes y giras de gran éxito. Publicado en 2006, A Matter of Life and Death, su decimocuarto álbum de estudio, alcanzó los primeros puestos de ventas en decenas de países, iniciando la serie de álbumes de Iron Maiden mejor valorados. Su álbum de 2010, The Final Frontier, alcanzó el número 1 en 28 países y recibió elogios generalizados de la crítica. Su 16º álbum de estudio, The Book of Souls, se publicó el 4 de septiembre de 2015 con un éxito similar, debutando en el nº 1 en las listas de álbumes de 24 países con ventas físicas y sumando en 43 territorios con ventas físicas y digitales. Más recientemente, su 17º álbum de estudio, Senjutsu, se publicó el 3 de septiembre de 2021 y llegó a alcanzar el nº 1 en 27 países.

Iron Maiden han vendido más de 130 millones de copias de sus álbumes en todo el mundo, a pesar del mínimo apoyo de la radio y los medios de comunicación convencionales. El catálogo de la banda ha vendido más de 200 millones de copias en todo el mundo, incluyendo álbumes, singles, recopilatorios y vídeos. En 2022, sus lanzamientos han sido certificados Plata, Oro y Platino unas 600 veces en todo el mundo. Iron Maiden se ha convertido en una de las bandas de rock más influyentes y veneradas de todos los tiempos, y se le atribuye haber influido en innumerables bandas y géneros. ";http://www.IronMaiden.com;https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao;2023-03-31;0;5;48373392;10;0;13;10;19;3;12;7
Pantera;"United States";"Arlington, Texas";5499971;https://www.metal-archives.com/images/7/7/77_photo.jpg?5659;"En Activo";"Pantera es una banda estadounidense de heavy metal de Arlington, Texas, formada en 1981 y compuesta actualmente por el vocalista Phil Anselmo, el bajista Rex Brown y los músicos de gira Zakk Wylde y Charlie Benante. La formación más conocida del grupo estaba formada por los hermanos Abbott (el batería Vinnie Paul y el guitarrista Dimebag Darrell), junto con Brown y Anselmo, que se unieron en 1982 y 1986 respectivamente. Además de su desarrollo y popularización del subgénero groove metal, a Pantera se le atribuye (junto con otros, como Testament, Sepultura y Machine Head) el haber formado parte de la segunda ola de la escena thrash metal desde finales de los 80 hasta principios y mediados de los 90. Pantera está considerada una de las bandas más exitosas e influyentes de la historia del heavy metal, habiendo vendido unos 20 millones de discos en todo el mundo y recibido cuatro nominaciones a los Grammy.

Pantera, que comenzó como una banda de glam metal, publicó tres álbumes a mediados de los 80 con el vocalista Terry Glaze (Metal Magic, Projects in the Jungle y I Am the Night), con poco éxito. En busca de un sonido nuevo y más pesado, Pantera reclutó a Anselmo en 1986 y publicó Power Metal en 1988. Al año siguiente consiguieron un contrato discográfico con la gran discográfica Atco. Su quinto álbum (que la banda ha declarado desde entonces como su álbum de debut oficial), Cowboys from Hell (1990), popularizó el género groove metal, mientras que su continuación Vulgar Display of Power (1992) consiguió un sonido aún más pesado y aumentó su popularidad. El álbum posterior Far Beyond Driven (1994) debutó en el número uno del Billboard 200.

Las tensiones empezaron a aflorar entre los miembros de la banda cuando Anselmo se hizo adicto a la heroína en 1995; estuvo a punto de morir de sobredosis en 1996. Estas tensiones provocaron que las sesiones de grabación de The Great Southern Trendkill (1996) se realizaran por separado. La tensión duró otros siete años, durante los cuales sólo se grabó un álbum de estudio, Reinventing the Steel (2000). Pantera hizo un paréntesis en 2001, pero las persistentes disputas llevaron a la disolución de la banda en 2003. Los hermanos Abbott pasaron a formar Damageplan, mientras que Anselmo siguió trabajando en varios proyectos paralelos, incluido Down, al que también se unió Brown.

El 8 de diciembre de 2004, Dimebag Darrell fue asesinado a tiros en el escenario por un fan mentalmente inestable durante un concierto de Damageplan en Columbus, Ohio. Vinnie Paul pasó a formar Hellyeah después de la muerte de su hermano, y murió de insuficiencia cardíaca en 2018, dejando a Brown y Anselmo como los únicos miembros sobrevivientes de la alineación más conocida de la banda. En julio de 2022, se anunció que Brown y Anselmo se reunirían en 2023 para la primera gira de Pantera en 22 años, con Zakk Wylde y Charlie Benante sustituyendo a los hermanos Abbott en la guitarra y la batería, respectivamente. La nueva formación tocó su primer concierto en 21 años en el festival Hell and Heaven en México el 2 de diciembre de 2022.";http://www.officialpantera.com;https://open.spotify.com/artist/14pVkFUHDL207LzLHtSA18;2023-03-28;0;5;32999826;5;0;12;5;14;6;6;7
Slayer;"United States";"Huntington Park, Los Angeles County, California";5317139;https://www.metal-archives.com/images/7/2/72_photo.jpg?3455;Disueltos;"Slayer fue una banda estadounidense de thrash metal de Huntington Park, California. La banda fue formada en 1981 por los guitarristas Kerry King y Jeff Hanneman, el baterista Dave Lombardo y el bajista y vocalista Tom Araya. El estilo musical rápido y agresivo de Slayer los convirtió en una de las ""cuatro grandes"" bandas de thrash metal, junto con Metallica, Megadeth y Anthrax. La formación final de Slayer estuvo compuesta por Araya, King, el baterista Paul Bostaph (quien reemplazó a Lombardo en 1992 y nuevamente en 2013) y el guitarrista Gary Holt (quien reemplazó a Hanneman en 2011). El baterista Jon Dette también era miembro de la banda.

En la formación original, King, Hanneman y Araya contribuyeron a las letras de la banda, y toda la música de la banda fue escrita por King y Hanneman. Las letras y la carátula del álbum de la banda, que abarcan temas como asesinos en serie, tortura, genocidio, crimen organizado, sociedades secretas, ocultismo, terrorismo, religión o antirreligión, fascismo, racismo y guerra, han generado prohibiciones de álbumes, retrasos, demandas y críticas de grupos religiosos. Sin embargo, su música ha sido muy influyente, siendo citada por muchas bandas como una influencia musical, visual y lírica; El tercer álbum de la banda, Reign in Blood (1986), ha sido descrito como uno de los álbumes de thrash metal más pesados e influyentes.

Slayer lanzó doce álbumes de estudio, tres álbumes en vivo, una caja, seis videos musicales, dos reproducciones extendidas y un álbum de versiones. Cuatro de los álbumes de estudio de la banda han recibido la certificación de oro en los Estados Unidos. Slayer vendió 5 millones de copias en los Estados Unidos entre 1991 y 2013, según Nielsen SoundScan, y más de 20 millones en todo el mundo. La banda ha recibido cinco nominaciones a los premios Grammy, ganando una en 2007 por la canción ""Eyes of the Insane"" y otra en 2008 por la canción ""Final Six"", ambas del álbum Christ Illusion (2006). Después de más de tres décadas de grabaciones y presentaciones, Slayer anunció en enero de 2018 que se embarcaría en una gira de despedida, que se llevó a cabo desde mayo de 2018 hasta noviembre de 2019, luego de lo cual la banda se disolvió.";http://www.slayer.net/;https://open.spotify.com/artist/1IQ2e1buppatiN1bxUVkrk;2023-04-11;0;5;31902834;9;0;16;9;21;4;9;6
Megadeth;"United States";"Los Angeles, California";5217405;https://www.metal-archives.com/images/1/3/8/138_photo.jpg?1116;"En Activo";"Megadeth es una banda estadounidense de thrash metal formada en Los Ángeles en 1983 por el vocalista/guitarrista Dave Mustaine. Conocido por su trabajo de guitarra técnicamente complejo y musicalidad, Megadeth es uno de los ""cuatro grandes"" del thrash metal estadounidense junto con Metallica, Anthrax y Slayer, responsables del desarrollo y la popularización del género. Su música presenta arreglos complejos y secciones de ritmo rápido, guitarras duales y temas líricos de guerra, política, religión, muerte y relaciones personales.En 1985, Megadeth lanzó su álbum debut, Killing Is My Business... y Business Is Good!, en el sello discográfico independiente Combat Records, con un éxito moderado. Llamó la atención de los sellos más grandes, lo que llevó a Megadeth a firmar con Capitol Records. Su primer álbum de estudio, Peace Sells. but Who 's Buying?, fue lanzado en 1986 y fue un gran éxito con la escena del metal underground. Los problemas de abuso de sustancias de los miembros de la banda y las disputas personales habían traído publicidad negativa a Megadeth a fines de la década de 1980. Sin embargo, la banda lanzó una serie de álbumes de platino, incluyendo So Far, So Good... So What! (1988), Rust in Peace (1990) y Countdown to Extinction (1992). Estos álbumes, junto con giras por todo el mundo, les trajeron reconocimiento público.Megadeth ha tenido numerosos guitarristas, bateristas y bajistas a lo largo de sus 39 años de carrera, siendo Mustaine el único miembro original restante del grupo. La banda se disolvió temporalmente en 2002 cuando Mustaine sufrió una lesión en el brazo y se restableció en 2004 sin el bajista David Ellefson, quien había emprendido acciones legales contra él. Ellefson llegó a un acuerdo extrajudicial y se reincorporó a la banda en 2010, pero fue despedido en 2021 en medio de acusaciones de conducta sexual inapropiada. La alineación actual de Megadeth incluye a Mustaine, el bajista James LoMenzo, el guitarrista Kiko Loureiro y el baterista Dirk Verbeuren.Megadeth obtuvo certificaciones de platino en los Estados Unidos por seis de sus dieciséis álbumes de estudio, y ha recibido doce nominaciones al Grammy. Megadeth ganó su primer premio Grammy en 2017 por la canción ""Dystopia"" en la categoría de Mejor Interpretación de Metal. La mascota de la banda, Vic Rattlehead, aparece regularmente en las ilustraciones del álbum y en los shows en vivo. Megadeth ha organizado su propio festival de música, Gigantour, varias veces desde julio de 2005, y celebró su primer MegaCruise en octubre de 2019.";http://www.megadeth.com/;https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf;2023-04-02;1;5;31304430;8;0;13;8;21;3;13;8
"Judas Priest";"United Kingdom";"Birmingham, West Midlands, England";4974164;https://www.metal-archives.com/images/9/7/97_photo.jpg?4747;"En Activo";"Judas Priest is an English heavy metal band formed in Birmingham in 1969. They have sold over 50 million albums and are frequently ranked as one of the greatest metal bands of all time. Despite an innovative and pioneering body of work in the latter half of the 1970s, the band had struggled with indifferent record production and a lack of major commercial success until 1980, when they rose to commercial success with the album British Steel.

The band's membership has seen much turnover, including a revolving cast of drummers in the 1970s and the departure of singer Rob Halford in 1992. Tim ""Ripper"" Owens, formerly of Winter's Bane, replaced Halford in 1996 and recorded two albums with Judas Priest, before Halford returned to the band in 2003. The current line-up consists of Halford, guitarists Glenn Tipton and Richie Faulkner, bassist Ian Hill and drummer Scott Travis. The band's best-selling album is 1982's Screaming for Vengeance, with their most commercially successful line-up featuring Hill, Halford, Tipton, guitarist K. K. Downing, and drummer Dave Holland. Tipton and Hill are the only two members of the band to appear on every album.

Halford's operatic vocal style and the twin guitar sound of Downing and Tipton have been a major influence on heavy metal bands. Judas Priest's image of leather, spikes, and other taboo articles of clothing were widely influential during the glam metal era of the 1980s. The Guardian referred to British Steel as the record that defines heavy metal. Despite a decline in exposure during the mid-1990s, the band has once again seen a resurgence, including worldwide tours, being inaugural inductees into the VH1 Rock Honors in 2006, receiving a Grammy Award for Best Metal Performance in 2010, and having their songs featured in video games such as Guitar Hero and the Rock Band series. In 2022, Judas Priest were inducted into the Rock and Roll Hall of Fame.
";http://www.judaspriest.com;https://open.spotify.com/artist/2tRsMl4eGxwoNabM08Dm4I;2023-03-22;0;5;29844984;8;1;12;8;19;5;10;7
Motörhead;"United Kingdom";"London, England";4729689;https://www.metal-archives.com/images/2/0/3/203_photo.jpg?5403;Disueltos;"Motörhead fue una banda inglesa de rock formada en Londres en 1975 por Lemmy (voz principal, bajo), Larry Wallis (guitarra) y Lucas Fox (batería). Lemmy era también el principal compositor y el único miembro constante. A menudo se considera a la banda precursora de la nueva ola de heavy metal británico, que revitalizó el heavy metal a finales de la década de 1970 y principios de la de 1980. Aunque varios guitarristas y baterías han tocado en Motörhead, la mayoría de sus álbumes y singles más vendidos están protagonizados por el batería Phil ""Philthy Animal"" Taylor y el guitarrista ""Fast"" Eddie Clarke.

Motörhead publicó 23 álbumes de estudio, 10 grabaciones en directo, 12 álbumes recopilatorios y cinco EP a lo largo de 40 años de carrera. Normalmente como power trío, tuvieron especial éxito a principios de la década de 1980 con varios singles de éxito en la lista de los 40 Principales del Reino Unido. Los álbumes Overkill, Bomber, Ace of Spades y, sobre todo, el álbum en directo No Sleep 'til Hammersmith cimentaron la reputación de Motörhead como banda de rock de primer nivel. La banda ocupa el puesto número 26 en la lista de VH1 100 Greatest Artists of Hard Rock. En 2016, habían vendido más de 15 millones de álbumes en todo el mundo.

Motörhead, a menudo clasificado como heavy metal, ha sido reconocido por formar parte e influir en numerosas escenas musicales, especialmente el thrash metal y el speed metal. Lemmy, sin embargo, siempre insistió en que eran una banda de rock and roll. Decía que tenían más en común con las bandas punk, pero con su sonido propio y único, Motörhead es acogido tanto en la escena punk como en la metalera. Sus letras solían tratar temas como la guerra, el bien contra el mal, el abuso de poder, el sexo promiscuo, el abuso de sustancias y, sobre todo, el juego, tema este último en el que se centraba su éxito ""Ace of Spades"".

Lemmy murió el 28 de diciembre de 2015 de arritmia cardíaca e insuficiencia cardíaca congestiva, después de que le diagnosticaran cáncer de próstata. Al día siguiente de su muerte, tanto el batería Mikkey Dee como el guitarrista Phil Campbell confirmaron que Motörhead se había disuelto. En 2018, los tres miembros de la formación más conocida de Motörhead (Lemmy, Taylor y Clarke) habían fallecido.";http://www.imotorhead.com/;https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M;2023-04-01;1;5;28378134;9;0;11;9;23;5;9;6
