"NomBan","NomAlb","NomGen","Estrellas"
"A Day to Remember","Attack of the Killer B-Sides","Metalcore","0"
"A Day to Remember","Attack of the Killer B-Sides","Pop","0"
"A Day to Remember","Attack of the Killer B-Sides","Post-Hardcore","0"
"A Day to Remember","Attack of the Killer B-Sides","Punk","0"
"A Day to Remember","For Those Who Have Heart","Metalcore","0"
"A Day to Remember","For Those Who Have Heart","Pop","0"
"A Day to Remember","For Those Who Have Heart","Post-Hardcore","0"
"A Day to Remember","For Those Who Have Heart","Punk","0"
"A Day to Remember","Homesick","Metalcore","1"
"A Day to Remember","Homesick","Pop","0"
"A Day to Remember","Homesick","Post-Hardcore","0"
"A Day to Remember","Homesick","Punk","0"
"A Day to Remember","What Separates Me from You","Metalcore","0"
"A Day to Remember","What Separates Me from You","Pop","0"
"A Day to Remember","What Separates Me from You","Post-Hardcore","0"
"A Day to Remember","What Separates Me from You","Punk","0"
"AC/DC","Back in Black","Arena","0"
"AC/DC","Back in Black","Hard","1"
"AC/DC","Back in Black","Heavy","1"
"AC/DC","Dirty Deeds Done Dirt Cheap","Blues","0"
"AC/DC","Dirty Deeds Done Dirt Cheap","Hard","0"
"AC/DC","Dirty Deeds Done Dirt Cheap","Heavy","0"
"AC/DC","Dirty Deeds Done Dirt Cheap","Rock&Roll","0"
"AC/DC","High Voltage","Blues","0"
"AC/DC","High Voltage","Hard","0"
"AC/DC","High Voltage","Rock&Roll","0"
"AC/DC","Highway to Hell","Blues","0"
"AC/DC","Highway to Hell","Hard","0"
"AC/DC","Highway to Hell","Heavy","1"
"AC/DC","Highway to Hell","Rock&Roll","0"
"AC/DC","Let There Be Rock","Blues","0"
"AC/DC","Let There Be Rock","Hard","0"
"AC/DC","Let There Be Rock","Heavy","0"
"AC/DC","Let There Be Rock","Rock&Roll","0"
"AC/DC","T.N.T.","Blues","0"
"AC/DC","T.N.T.","Hard","0"
"AC/DC","T.N.T.","Rock&Roll","0"
"AC/DC","The Razors Edge","Hard","0"
"AC/DC","The Razors Edge","Heavy","0"
"Accept","Balls to the Wall","Heavy","2"
"Accept","Blood of the Nations","Heavy","0"
"Accept","Breaker","Heavy","0"
"Accept","Metal Heart","Heavy","0"
"Accept","Restless and Wild","Heavy","2"
"Accept","Restless and Wild","Speed","1"
"Accept","Stalingrad","Heavy","0"
"After Forever","After Forever","Progressive","0"
"After Forever","After Forever","Symphonic","1"
"After Forever","Decipher","Gothic","1"
"After Forever","Decipher","Symphonic","0"
"After Forever","Invisible Circles","Gothic","0"
"After Forever","Invisible Circles","Progressive","0"
"After Forever","Invisible Circles","Symphonic","0"
"After Forever","Prison of Desire","Gothic","1"
"After Forever","Prison of Desire","Symphonic","0"
"After Forever","Remagine","Progressive","0"
"After Forever","Remagine","Symphonic","0"
"Agalloch","Ashes Against the Grain","Black.","1"
"Agalloch","Ashes Against the Grain","Doom","1"
"Agalloch","Ashes Against the Grain","Folk","4"
"Agalloch","Ashes Against the Grain","Post-Metal","2"
"Agalloch","Marrow of the Spirit","Black.","0"
"Agalloch","Marrow of the Spirit","Doom","0"
"Agalloch","Marrow of the Spirit","Folk","2"
"Agalloch","Marrow of the Spirit","Post-Metal","0"
"Agalloch","Pale Folklore","Black.","0"
"Agalloch","Pale Folklore","Doom","1"
"Agalloch","Pale Folklore","Folk","5"
"Agalloch","The Mantle","Black.","3"
"Agalloch","The Mantle","Doom","1"
"Agalloch","The Mantle","Folk","5"
"Agalloch","The Mantle","Post-Metal","4"
"Airbourne","Black Dog Barking","Hard","0"
"Airbourne","Black Dog Barking","Heavy","0"
"Airbourne","Black Dog Barking","Rock 'n' Roll","0"
"Airbourne","Boneshaker","Hard","0"
"Airbourne","Boneshaker","Rock 'n' Roll","0"
"Airbourne","Breakin' Outta Hell","Hard","0"
"Airbourne","Breakin' Outta Hell","Heavy","0"
"Airbourne","No Guts No Glory","Hard","0"
"Airbourne","No Guts No Glory","Heavy","0"
"Airbourne","No Guts No Glory","Rock 'n' Roll","0"
"Airbourne","Runnin' Wild","Hard","1"
"Airbourne","Runnin' Wild","Heavy","0"
"Airbourne","Runnin' Wild","Rock 'n' Roll","1"
"Alcest","Écailles de lune","Black-Gaze","0"
"Alcest","Écailles de lune","Black.","2"
"Alcest","Écailles de lune","Post-Metal","1"
"Alcest","Écailles de lune","Shoegaze","0"
"Alcest","Kodama","Black-Gaze","0"
"Alcest","Kodama","Black.","0"
"Alcest","Kodama","Post-Metal","0"
"Alcest","Les Voyages de l'âme","Black-Gaze","0"
"Alcest","Les Voyages de l'âme","Black.","1"
"Alcest","Les Voyages de l'âme","Post-Metal","1"
"Alcest","Shelter","Post-Rock","0"
"Alcest","Shelter","Shoegaze","0"
"Alcest","Souvenirs d'un autre monde","Black-Gaze","0"
"Alcest","Souvenirs d'un autre monde","Black.","0"
"Alcest","Souvenirs d'un autre monde","Post-Metal","0"
"Alcest","Souvenirs d'un autre monde","Shoegazing","0"
"Alcest","Spiritual Instinct","Black-Gaze","0"
"Alcest","Spiritual Instinct","Black.","1"
"Alcest","Spiritual Instinct","Post-Metal","1"
"Alestorm","Back Through Time","Folk","2"
"Alestorm","Back Through Time","Pirate","0"
"Alestorm","Back Through Time","Power","0"
"Alestorm","Black Sails at Midnight","Folk","2"
"Alestorm","Black Sails at Midnight","Pirate","0"
"Alestorm","Black Sails at Midnight","Power","0"
"Alestorm","Captain Morgan's Revenge","Folk","2"
"Alestorm","Captain Morgan's Revenge","Pirate","0"
"Alestorm","Captain Morgan's Revenge","Power","0"
"Alestorm","No Grave but the Sea","Folk","0"
"Alestorm","No Grave but the Sea","Pirate","0"
"Alestorm","No Grave but the Sea","Power","0"
"Alestorm","Sunset on the Golden Age","Folk","1"
"Alestorm","Sunset on the Golden Age","Pirate","0"
"Alestorm","Sunset on the Golden Age","Power","0"
"Alice Cooper","Billion Dollar Babies","_Glam","0"
"Alice Cooper","Billion Dollar Babies","Hard","0"
"Alice Cooper","Goes to Hell","Hard","0"
"Alice Cooper","Goes to Hell","Pop","0"
"Alice Cooper","Goes to Hell","Rock","0"
"Alice Cooper","Hey Stoopid","Glam","0"
"Alice Cooper","Hey Stoopid","Hard","0"
"Alice Cooper","Hey Stoopid","Heavy","0"
"Alice Cooper","Killer","Hard","0"
"Alice Cooper","Lace & Whiskey","Hard","0"
"Alice Cooper","Lace & Whiskey","Pop","0"
"Alice Cooper","Lace & Whiskey","Rock","0"
"Alice Cooper","Love It to Death","_Glam","0"
"Alice Cooper","Love It to Death","Hard","0"
"Alice Cooper","Love It to Death","Heavy","0"
"Alice Cooper","Love It to Death","Shock","0"
"Alice Cooper","School's Out","_Glam","0"
"Alice Cooper","School's Out","Hard","0"
"Alice Cooper","Trash","Glam","3"
"Alice Cooper","Trash","Hard","0"
"Alice Cooper","Trash","SW-Glam","3"
"Alice Cooper","Welcome to My Nightmare","Hard","0"
"Alice in Chains","Alice in Chains","Alternative","2"
"Alice in Chains","Alice in Chains","Doom","0"
"Alice in Chains","Alice in Chains","Grunge","0"
"Alice in Chains","Alice in Chains","Heavy","0"
"Alice in Chains","Alice in Chains","Sludge","2"
"Alice in Chains","Dirt","Alternative","5"
"Alice in Chains","Dirt","Grunge","0"
"Alice in Chains","Dirt","Heavy","0"
"Alice in Chains","Dirt","Sludge","2"
"Alice in Chains","Facelift","Alternative","3"
"Alice in Chains","Facelift","Grunge","0"
"Alice in Chains","Facelift","Hard","0"
"Alice in Chains","Facelift","Heavy","0"
"Alice in Chains","Jar of Flies","Acoustic","0"
"Alice in Chains","Jar of Flies","Alternative","0"
"Alice in Chains","Jar of Flies","Blues","0"
"Alice in Chains","Jar of Flies","Grunge","0"
"All That Remains","A War You Cannot Win","Heavy","0"
"All That Remains","A War You Cannot Win","Metalcore","0"
"All That Remains","For We Are Many","Metalcore","0"
"All That Remains","Madness","Alternative","0"
"All That Remains","Madness","Heavy","0"
"All That Remains","Madness","Metalcore","0"
"All That Remains","Overcome","Metalcore","0"
"All That Remains","The Fall of Ideals","Death-Melodic","0"
"All That Remains","The Fall of Ideals","Metalcore","5"
"All That Remains","The Order of Things","Heavy","0"
"All That Remains","The Order of Things","Metalcore","0"
"Alter Bridge","AB III","Alternative","0"
"Alter Bridge","AB III","Hard","0"
"Alter Bridge","AB III","Heavy","0"
"Alter Bridge","AB III","Post-Grunge","0"
"Alter Bridge","AB III","Progressive","0"
"Alter Bridge","Blackbird","Alternative","2"
"Alter Bridge","Blackbird","Hard","1"
"Alter Bridge","Blackbird","Heavy","0"
"Alter Bridge","Blackbird","Post-Grunge","0"
"Alter Bridge","Fortress","Alternative","0"
"Alter Bridge","Fortress","Hard","0"
"Alter Bridge","Fortress","Heavy","0"
"Alter Bridge","Fortress","Post-Grunge","0"
"Alter Bridge","Fortress","Progressive","0"
"Alter Bridge","One Day Remains","Alternative","1"
"Alter Bridge","One Day Remains","Hard","1"
"Alter Bridge","One Day Remains","Heavy","0"
"Alter Bridge","One Day Remains","Post-Grunge","0"
"Amaranthe","Amaranthe","Alternative","2"
"Amaranthe","Amaranthe","Death-Melodic","0"
"Amaranthe","Amaranthe","Metalcore","0"
"Amaranthe","Amaranthe","Pop","0"
"Amaranthe","Amaranthe","Power","0"
"Amaranthe","Helix","Death-Melodic","0"
"Amaranthe","Helix","Metalcore","0"
"Amaranthe","Helix","Pop","0"
"Amaranthe","Helix","Power","0"
"Amaranthe","Leave Everything Behind","Death-Melodic","0"
"Amaranthe","Leave Everything Behind","Metalcore","0"
"Amaranthe","Leave Everything Behind","Power","0"
"Amaranthe","Massive Addictive","Death-Melodic","0"
"Amaranthe","Massive Addictive","Metalcore","0"
"Amaranthe","Massive Addictive","Pop","0"
"Amaranthe","Massive Addictive","Power","0"
"Amaranthe","Maximalism","Death-Melodic","0"
"Amaranthe","Maximalism","Metalcore","0"
"Amaranthe","Maximalism","Pop","0"
"Amaranthe","Maximalism","Power","0"
"Amaranthe","The Nexus","Death-Melodic","1"
"Amaranthe","The Nexus","Metalcore","0"
"Amaranthe","The Nexus","Pop","0"
"Amaranthe","The Nexus","Power","0"
"Amon Amarth","Berserker","Death-Melodic","1"
"Amon Amarth","Berserker","Extreme","0"
"Amon Amarth","Berserker","Viking","0"
"Amon Amarth","Deceiver of the Gods","Death-Melodic","2"
"Amon Amarth","Deceiver of the Gods","Extreme","1"
"Amon Amarth","Deceiver of the Gods","Viking","0"
"Amon Amarth","Fate of Norns","Death-Melodic","2"
"Amon Amarth","Fate of Norns","Extreme","1"
"Amon Amarth","Fate of Norns","Viking","3"
"Amon Amarth","Jomsviking","Death-Melodic","0"
"Amon Amarth","Jomsviking","Extreme","0"
"Amon Amarth","Jomsviking","Viking","0"
"Amon Amarth","Once Sent from the Golden Hall","Black.","0"
"Amon Amarth","Once Sent from the Golden Hall","Death-Melodic","2"
"Amon Amarth","Once Sent from the Golden Hall","Extreme","0"
"Amon Amarth","Once Sent from the Golden Hall","Viking","0"
"Amon Amarth","Surtur Rising","Death-Melodic","2"
"Amon Amarth","Surtur Rising","Extreme","0"
"Amon Amarth","Surtur Rising","Viking","0"
"Amon Amarth","Twilight of the Thunder God","Death-Melodic","5"
