"NomBan","NomGen","Estrellas"
"A Day to Remember","Metalcore","0"
"A Day to Remember","Pop","0"
"A Day to Remember","Post-Hardcore","0"
"A Day to Remember","Punk","0"
"AC/DC","Blues","0"
"AC/DC","Hard","0"
"AC/DC","Rock&Roll","0"
"Accept","Heavy","0"
"After Forever","Gothic","0"
"After Forever","Symphonic","0"
"Agalloch","Black.","0"
"Agalloch","Doom","0"
"Agalloch","Folk","0"
"Airbourne","Hard","0"
"Airbourne","Heavy","0"
"Airbourne","Rock 'n' Roll","0"
"Alcest","Black-Gaze","0"
"Alcest","Black.","0"
"Alcest","Post-Metal","0"
"Alcest","Shoegazing","0"
"Alestorm","Folk","0"
"Alestorm","Pirate","0"
"Alestorm","Power","0"
"Alice Cooper","_Glam","0"
"Alice Cooper","Hard","0"
"Alice Cooper","Heavy","0"
"Alice Cooper","Shock","0"
"Alice in Chains","Alternative","0"
"Alice in Chains","Grunge","0"
"Alice in Chains","Hard","0"
"Alice in Chains","Heavy","0"
"All That Remains","Death-Melodic","0"
"All That Remains","Metalcore","0"
"Alter Bridge","Alternative","0"
"Alter Bridge","Hard","0"
"Alter Bridge","Heavy","0"
"Alter Bridge","Post-Grunge","0"
"Amaranthe","Death-Melodic","0"
"Amaranthe","Metalcore","0"
"Amaranthe","Power","0"
"Amon Amarth","Black.","0"
"Amon Amarth","Death-Melodic","0"
"Amon Amarth","Extreme","0"
"Amon Amarth","Viking","0"
"Amorphis","Death-Melodic","0"
"Amorphis","Death.","0"
"Amorphis","Doom","0"
"Amorphis","Extreme","0"
"Amorphis","Folk","0"
"Amorphis","Progressive","0"
"Anathema","Death.","0"
"Anathema","Doom","0"
"Anathema","Gothic","0"
"Angel Witch","Heavy","0"
"Angel Witch","NWOBHM","0"
"Angel Witch","Speed","0"
"Angra","Power","0"
"Angra","Progressive","0"
"Animals as Leaders","Djent","0"
"Animals as Leaders","Progressive","0"
"Animals as Leaders","Rock","0"
"Annihilator","Speed","0"
"Annihilator","Thrash.","0"
"Anthrax","Heavy","0"
"Anthrax","Speed","0"
"Anthrax","Thrash.","0"
"Anvil","Hard","0"
"Anvil","Heavy","0"
"Apocalyptica","Cello","0"
"Apocalyptica","Classical","0"
"Apocalyptica","Rock","0"
"Apocalyptica","Symphonic","0"
"Arch Enemy","Death-Melodic","0"
"Arch Enemy","Extreme","0"
"Architects","Mathcore","0"
"Architects","Metalcore","0"
"Arkona","Folk","0"
"As I Lay Dying","Metalcore","0"
"Asking Alexandria","Electronic","0"
"Asking Alexandria","Metalcore","0"
"Asking Alexandria","Post-Hardcore","0"
"At the Gates","Death-Melodic","0"
"At the Gates","Extreme","0"
"Atreyu","Metalcore","0"
"August Burns Red","Metalcore","0"
"Avantasia","Power","0"
"Avantasia","Symphonic","0"
"Avatar","Death-Melodic","0"
"Avatar","Groove","0"
"Avenged Sevenfold","Metalcore","0"
"Baroness","Progressive","0"
"Baroness","Sludge","0"
"Bathory","Black.","0"
"Bathory","Extreme","0"
"Bathory","FW-Black","0"
"Battle Beast","Heavy","0"
"Battle Beast","Power","0"
"Behemoth","Black.","0"
"Behemoth","Death.","0"
"Behemoth","Extreme","0"
"Between the Buried and Me","Death-Tech","0"
"Between the Buried and Me","Metalcore","0"
"Between the Buried and Me","Progressive","0"
"Black Label Society","Heavy","0"
"Black Label Society","Southern","0"
"Black Sabbath","Doom","0"
"Black Sabbath","Heavy","0"
"Black Veil Brides","Metalcore","0"
"Black Veil Brides","Post-Hardcore","0"
"Blind Guardian","Speed","0"
"Blind Guardian","Thrash.","0"
"Blue Cheer","Acid Rock","0"
"Blue Cheer","Blues","0"
"Blue Cheer","Hard","0"
"Blue Cheer","Heavy","0"
"Blue Cheer","Psychedelic","0"
"Blue Oÿster Cult","Acid Rock","0"
"Blue Oÿster Cult","Blues","0"
"Blue Oÿster Cult","Hard","0"
"Blue Oÿster Cult","Heavy","0"
"Blue Oÿster Cult","Psychedelic","0"
"Body Count","Rap","0"
"Body Count","Speed","0"
"Body Count","Thrash-Crossover","0"
"Body Count","Thrash.","0"
"Bon Jovi","Glam","0"
"Bon Jovi","Hard","0"
"Bon Jovi","Heavy","0"
"Bon Jovi","SW-Glam","0"
"Breaking Benjamin","Alternative","0"
"Breaking Benjamin","Post-Grunge","0"
"Bring Me the Horizon","Death-Core","0"
"Bring Me the Horizon","Metalcore","0"
"Bruce Dickinson","Hard","0"
"Bruce Dickinson","Heavy","0"
"Bruce Dickinson","Rock","0"
"Budgie","Doom","0"
"Budgie","Hard","0"
"Budgie","Heavy","0"
"Bullet for My Valentine","Metalcore","0"
"Burzum","Black.","0"
"Burzum","Dark Ambient","0"
"Burzum","Extreme","0"
"Burzum","SW-Black","0"
"Candlemass","Doom","0"
"Cannibal Corpse","Death.","0"
"Cannibal Corpse","Extreme","0"
"Cannibal Corpse","Thrash.","0"
"Carcass","Extreme","0"
"Carcass","Grindcore","0"
"Celtic Frost","Black.","0"
"Celtic Frost","Extreme","0"
"Celtic Frost","FW-Black","0"
"Celtic Frost","Thrash.","0"
"Children of Bodom","Black-Melodic","0"
"Children of Bodom","Death-Melodic","0"
"Children of Bodom","Extreme","0"
