TISTA";"PAIS"
"2Pac";"Estados Unidos"
"A Tribe Called Quest";"Estados Unidos"
"ABC";"Reino Unido"
"AC/DC";"Australia"
"Adam and The Ants";"Reino Unido"
"Adele";"Reino Unido"
"Aerosmith";"Estados Unidos"
"Al Green";"Estados Unidos"
"Alabama Shakes";"Estados Unidos"
"Alan Jackson";"Estados Unidos"
"Alan Silvestri";"Estados Unidos"
"Alanis Morissette";"Canadá"
"Alice Coltrane";"Estados Unidos"
"Alice Cooper";"Estados Unidos"
"Alice in Chains";"Estados Unidos"
"Amy Winehouse";"Reino Unido"
"Antonio Carlos Jobim";"Brasil"
"Arcade Fire";"Canadá"
"Arctic Monkeys";"Reino Unido"
"Aretha Franklin";"Estados Unidos"
"Augustus Pablo";"Jamáica"
"Avenged Sevenfold";"Estados Unidos"
"Backstreet Boys";"Estados Unidos"
"Bad Company";"Reino Unido"
"Barbra Streisand";"Estados Unidos"
"Bark Psychosis";"Reino Unido"
"Beastie Boys";"Estados Unidos"
"Beck";"Estados Unidos"
"Bee Gees";"Reino Unido"
"Beyoncé";"Estados Unidos"
"Big Star";"Estados Unidos"
"Billy Joel";"Estados Unidos"
"Björk";"Islandia"
"Black Sabbath";"Reino Unido"
"Blondie";"Estados Unidos"
"Blur";"Reino Unido"
"Bob Dylan";"Estados Unidos"
"Bob Dylan and The Band";"Estados Unidos"
"Bob Marley and The Wailers";"Jamáica"
"Bob Seger and the Silver Bullet Band";"Estados Unidos"
"Bon Jovi";"Estados Unidos"
"Bonnie Raitt";"Estados Unidos"
"Boogie Down Productions";"Estados Unidos"
"Boston";"Estados Unidos"
"Boyz II Men";"Estados Unidos"
"Boz Scaggs";"Estados Unidos"
"Brandi Carlile";"Estados Unidos"
"Breaking Benjamin";"Estados Unidos"
"Brian Eno";"Reino Unido"
"Britney Spears";"Estados Unidos"
"Bruce Springsteen";"Estados Unidos"
"Bruce Springsteen and The E Street Band";"Estados Unidos"
"Buddy Holly";"Estados Unidos"
"Buffalo Springfield";"Estados Unidos"
"Bullet for My Valentine";"Reino Unido"
"Burning Spear";"Jamáica"
"Can";"Alemania"
"Captain Beefheart and His Magic Band";"Estados Unidos"
"Carole King";"Estados Unidos"
"Celine Dion";"Canadá"
"Chambers Brothers";"Estados Unidos"
"Charles Mingus";"Estados Unidos"
"Chick Corea and Return to Forever";"Estados Unidos"
"Chuck Berry";"Estados Unidos"
"Cocteau Twins";"Reino Unido"
"Counting Crows";"Estados Unidos"
"Courtney Barnett";"Australia"
"Cream";"Estados Unidos"
"Creed";"Estados Unidos"
"Creedence Clearwater Revival";"Estados Unidos"
"Crosby Stills Nash and Young";"Estados Unidos"
"Crosby, Stills and Nash";"Estados Unidos"
"Culture";"Jamáica"
"Curtis Mayfield";"Estados Unidos"
"D’Angelo";"Estados Unidos"
"Daft Punk";"Francia"
"Danny Brown";"Estados Unidos"
"Dave Matthews Band";"Estados Unidos"
"David Bowie";"Reino Unido"
"David Holland Quartet";"Reino Unido"
"Death Grips";"Estados Unidos"
"Deep Purple";"Reino Unido"
"Def Leppard";"Reino Unido"
"Deftones";"Estados Unidos"
"Derek and The Dominos";"Reino Unido"
"Dexys Midnight Runners";"Reino Unido"
"Dire Straits";"Reino Unido"
"DJ Shadow";"Estados Unidos"
"Doobie Brothers";"Estados Unidos"
"Dr. Dre";"Estados Unidos"
"Drake";"Canadá"
"Dream Theater";"Estados Unidos"
